CHR,start,end,gene_id,genename,n_snp_input,n_snp_model,model_type,in_sample_r2,in_sample_cor_pvalue
chr12,132189694,132189695,ENSG00000256576.2,RP13-977J11.2,342,13,NonSpecific,0.2839939381339668,1.579298791400628e-10
chr12,132489550,132489551,ENSG00000112787.12,FBRSL1,325,19,NonSpecific,0.24805718643891753,3.4215822487664706e-9
chr12,132687605,132687606,ENSG00000176894.9,PXMP2,304,11,NonSpecific,0.15607265613549126,5.1296464831511405e-6
chr12,132761887,132761888,ENSG00000176915.14,ANKLE2,298,10,CellTypeSpecific,0.16441255538651214,2.719395884082351e-6
chr12,132828857,132828858,ENSG00000090615.14,GOLGA3,294,5,CellTypeSpecific,0.13825638646594776,1.958976906152564e-5
chr12,132911469,132911470,ENSG00000250790.4,RP11-46H11.3,276,0,NonSpecific,NA,NA
chr12,132956305,132956306,ENSG00000196458.10,ZNF605,272,21,CellTypeSpecific,0.2024688324015364,1.4049065584786455e-7
chr12,133130574,133130575,ENSG00000256223.5,ZNF10,251,0,NonSpecific,NA,NA
chr12,133181408,133181409,ENSG00000090612.20,ZNF268,234,5,NonSpecific,0.1358316226121504,2.3472215763905096e-5
chr12,7109272,7109273,ENSG00000139178.10,C1RL,565,4,CellTypeSpecific,0.05662131452149232,0.007536550658169603
chr12,7130252,7130253,ENSG00000139182.13,CLSTN3,564,0,NonSpecific,NA,NA
chr12,7188684,7188685,ENSG00000139197.10,PEX5,566,14,CellTypeSpecific,0.09479709452396476,4.776278117518471e-4
chr12,7304283,7304284,ENSG00000215009.5,ACSM4,561,0,NonSpecific,NA,NA
chr12,7891147,7891148,ENSG00000173262.11,SLC2A14,430,0,NonSpecific,NA,NA
chr12,7936274,7936275,ENSG00000059804.15,SLC2A3,432,2,CellTypeSpecific,0.01577138230024375,0.16286532559469283
chr12,8066470,8066471,ENSG00000171860.4,C3AR1,445,23,CellTypeSpecific,0.5281073786449226,8.571321837389846e-22
chr12,8227617,8227618,ENSG00000171847.10,FAM90A1,436,12,NonSpecific,0.2981547930049155,4.5174705554975034e-11
chr12,8396802,8396803,ENSG00000226091.7,LINC00937,455,28,NonSpecific,0.29243225802350015,7.512520330446962e-11
chr12,8509474,8509475,ENSG00000166527.7,CLEC4D,451,7,NonSpecific,0.2565427112028895,1.6757893993984441e-9
chr12,8662887,8662888,ENSG00000197614.10,MFAP5,454,13,NonSpecific,0.17739609307557758,1.0023305295917133e-6
chr12,8681690,8681691,ENSG00000166532.15,RIMKLB,455,24,NonSpecific,0.3035967484738438,2.774955075606649e-11
chr12,8913895,8913896,ENSG00000111752.10,PHC1,460,21,CellTypeSpecific,0.34407877944415843,6.572982409470059e-13
chr12,8949954,8949955,ENSG00000003056.7,M6PR,461,12,NonSpecific,0.23552205067152454,9.691682745210466e-9
chr12,8950043,8950044,ENSG00000139187.9,KLRG1,461,23,NonSpecific,0.09321624706305211,5.356490921907582e-4
chr12,9116228,9116229,ENSG00000175899.14,A2M,498,1,NonSpecific,0.082900744489073,0.0011299607233922588
chr12,9246496,9246497,ENSG00000256427.1,RP11-118B22.4,526,0,NonSpecific,NA,NA
chr12,9367463,9367464,ENSG00000260423.1,RP13-735L24.1,536,29,NonSpecific,0.3311077974282344,2.2323505827086987e-12
chr12,9467551,9467552,ENSG00000214776.10,RP11-726G1.1,543,19,CellTypeSpecific,0.3844624018035477,1.2515184083365961e-14
chr12,9664968,9664969,ENSG00000069493.14,CLEC2D,509,39,NonSpecific,0.16374495622045718,2.861635081194777e-6
chr12,9733298,9733299,ENSG00000184293.7,CLECL1,515,0,NonSpecific,NA,NA
chr12,9870135,9870136,ENSG00000110852.4,CLEC2B,513,12,CellTypeSpecific,0.04027868729410211,0.024820397450738982
chr12,9971414,9971415,ENSG00000172322.13,CLEC12A,505,9,CellTypeSpecific,0.5628395374572333,7.545149261910214e-24
chr12,10010626,10010627,ENSG00000256660.5,CLEC12B,520,15,NonSpecific,0.42177204411595803,2.558694050104629e-16
chr12,10420594,10420595,ENSG00000205810.8,KLRC3,494,0,NonSpecific,NA,NA
chr12,10723311,10723312,ENSG00000060138.12,YBX3,463,45,NonSpecific,0.29121401135949065,8.367451422628135e-11
chr12,10884254,10884255,ENSG00000231887.6,PRH1,428,64,CellTypeSpecific,0.5232710693083087,1.6118646854604507e-21
chr12,10826357,10826358,ENSG00000121318.2,TAS2R10,444,144,CellTypeSpecific,0.5171256781932174,3.563836588088579e-21
chr12,11121179,11121180,ENSG00000111215.11,PRR4,368,7,NonSpecific,0.18886423448326325,4.1063008684765743e-7
chr12,10939262,10939263,ENSG00000212127.5,TAS2R14,410,10,CellTypeSpecific,0.24223736773134125,5.55911262068097e-9
chr12,10997874,10997875,ENSG00000255837.1,TAS2R20,401,15,NonSpecific,0.32233489208273386,5.03914167209327e-12
chr12,11031406,11031407,ENSG00000256436.1,TAS2R31,381,1,NonSpecific,0.09371854961007041,5.1649170741765e-4
chr12,11092312,11092313,ENSG00000255374.3,TAS2R43,383,14,NonSpecific,0.3156581787127059,9.301545346982122e-12
chr12,11134643,11134644,ENSG00000256188.3,TAS2R30,365,22,NonSpecific,0.19616444071189745,2.3138679171896383e-7
chr12,11548029,11548030,ENSG00000247157.6,LINC01252,292,16,NonSpecific,0.42383799750869344,2.0483089870526925e-16
chr12,12357078,12357079,ENSG00000165714.10,BORCS5,119,26,NonSpecific,0.26321112812042124,9.512829664159222e-10
chr12,12696206,12696207,ENSG00000183150.7,GPR19,90,5,NonSpecific,0.11218327572994129,1.345482094118369e-4
chr12,13008094,13008095,ENSG00000255621.1,RP11-377D9.3,74,0,NonSpecific,NA,NA
chr12,14696584,14696585,ENSG00000070019.4,GUCY2C,133,5,NonSpecific,0.10827109075163441,1.7912294444942439e-4
chr12,14803571,14803572,ENSG00000182993.3,C12orf60,132,6,NonSpecific,0.09139216349368134,6.113524711387121e-4
chr12,14939081,14939082,ENSG00000139055.6,ERP27,135,18,NonSpecific,0.2411434986384154,6.087769480917777e-9
chr12,14961727,14961728,ENSG00000111348.8,ARHGDIB,135,6,CellTypeSpecific,0.08231808031090322,0.0011785398010972508
chr12,15001832,15001833,ENSG00000255727.1,LINC01489,132,0,NonSpecific,NA,NA
chr12,16277684,16277685,ENSG00000188991.3,SLC15A5,89,21,NonSpecific,0.06149089702398126,0.005299133967187625
chr12,16661765,16661766,ENSG00000283240.1,RP11-239A17.1,74,4,NonSpecific,0.16543031790809534,2.5158805615109663e-6
chr12,19775450,19775451,ENSG00000255910.1,RP11-405A12.2,36,21,NonSpecific,0.3038310518768893,2.7171200103080404e-11
chr12,21437614,21437615,ENSG00000121350.15,PYROXD1,108,52,NonSpecific,0.35840810006350654,1.6569976830089405e-13
chr12,21501668,21501669,ENSG00000004700.15,RECQL,123,5,CellTypeSpecific,0.01232385006220613,0.2177602361227914
chr12,22544545,22544546,ENSG00000111731.12,C2CD5,74,31,CellTypeSpecific,0.05524955026872929,0.008323965014859968
chr12,22625074,22625075,ENSG00000139163.15,ETNK1,71,5,NonSpecific,0.07753306868776635,0.0016649003948921704
chr12,25004341,25004342,ENSG00000118308.15,LRMP,73,11,NonSpecific,0.10009619170672683,3.250329627103469e-4
chr12,25195215,25195216,ENSG00000205707.10,ETFRF1,84,3,CellTypeSpecific,0.22157352563519256,3.032273298376824e-8
chr12,26134963,26134964,ENSG00000123096.11,SSPN,168,17,NonSpecific,0.13806853475380068,1.9866361694514748e-5
chr12,27014433,27014434,ENSG00000064115.10,TM7SF3,270,1,CellTypeSpecific,0.004007492792963654,0.4830770003926489
chr12,27022545,27022546,ENSG00000152944.8,MED21,271,45,CellTypeSpecific,0.27380875872742394,3.8303671977339653e-10
chr12,27037099,27037100,ENSG00000275764.1,RP11-582E3.6,272,94,CellTypeSpecific,0.5114545784376026,7.346777099960846e-21
chr12,27523430,27523431,ENSG00000110841.13,PPFIBP1,274,0,NonSpecific,NA,NA
chr12,27710772,27710773,ENSG00000061794.12,MRPS35,272,7,NonSpecific,0.09957075639602517,3.3769256274966913e-4
chr12,28133248,28133249,ENSG00000123106.10,CCDC91,276,31,CellTypeSpecific,0.34654671774010204,5.195096450652021e-13
chr12,29149102,29149103,ENSG00000064763.10,FAR2,207,13,NonSpecific,0.11767184248390586,8.995162904972948e-5
chr12,29381188,29381189,ENSG00000087502.17,ERGIC2,211,15,CellTypeSpecific,0.1500043295145581,8.115513363152052e-6
chr12,29784758,29784759,ENSG00000133687.15,TMTC1,240,5,CellTypeSpecific,0.007140122595593847,0.3488016503191529
chr12,30695985,30695986,ENSG00000133704.9,IPO8,178,3,CellTypeSpecific,0.09138189330062617,6.118075028693243e-4
chr12,30754950,30754951,ENSG00000110888.17,CAPRIN2,181,13,NonSpecific,0.14140079102791459,1.5486972565330124e-5
chr12,30795680,30795681,ENSG00000235884.3,LINC00941,182,16,NonSpecific,0.0942952610505348,4.953351263944614e-4
chr12,31073847,31073848,ENSG00000013573.16,DDX11,182,27,CellTypeSpecific,0.730383095641389,8.203587690346156e-37
chr13,19633680,19633681,ENSG00000196199.13,MPHOSPH8,98,23,NonSpecific,0.1065845602926113,2.0259798589053615e-4
chr13,36214614,36214615,ENSG00000120669.15,SOHLH2,234,51,NonSpecific,0.401037294785362,2.2885161299801537e-15
chr13,36297839,36297840,ENSG00000242715.7,CCDC169,240,41,NonSpecific,0.16260571569229904,3.1215225983397963e-6
chr13,36431519,36431520,ENSG00000133101.9,CCNA1,244,21,CellTypeSpecific,0.27633584292079116,3.077821896394127e-10
chr13,36920764,36920765,ENSG00000120693.13,SMAD9,231,18,NonSpecific,0.2388180222287951,7.381770134437333e-9
chr13,37000260,37000261,ENSG00000120697.8,ALG5,231,11,CellTypeSpecific,0.0886508771057692,7.45581964676214e-4
chr13,37059712,37059713,ENSG00000102710.19,SUPT20H,228,1,NonSpecific,0.042059707101989044,0.021771869368299397
chr13,38143231,38143232,ENSG00000223685.5,LINC00571,118,5,NonSpecific,0.09122260962624257,6.189080148582787e-4
chr13,38687128,38687129,ENSG00000150893.10,FREM2,117,0,NonSpecific,NA,NA
chr13,39603527,39603528,ENSG00000183722.7,LHFP,71,14,NonSpecific,0.10230251402424852,2.768213407217093e-4
chr13,39655626,39655627,ENSG00000133103.16,COG6,71,7,CellTypeSpecific,0.14784659760324798,9.547682131946748e-6
chr13,41457558,41457559,ENSG00000102760.12,RGCC,125,0,NonSpecific,NA,NA
chr13,41961119,41961120,ENSG00000102763.17,VWA8,122,11,CellTypeSpecific,0.23165476486871792,1.3321357344456761e-8
chr13,42272152,42272153,ENSG00000023516.8,AKAP11,151,6,NonSpecific,0.03762143006938793,0.030203806319813495
chr13,42992248,42992249,ENSG00000133106.14,EPSTI1,211,20,CellTypeSpecific,0.27713652114097226,2.8713118641064034e-10
chr13,43023202,43023203,ENSG00000120675.5,DNAJC15,207,13,NonSpecific,0.16678229599952743,2.2686285927127263e-6
chr13,43874926,43874927,ENSG00000151773.12,CCDC122,206,12,NonSpecific,0.2302126216123261,1.499358746415505e-8
chr13,43879283,43879284,ENSG00000179630.10,LACC1,206,15,NonSpecific,0.12383612351815675,5.712592317870478e-5
chr13,44373664,44373665,ENSG00000151778.10,SERP2,194,3,NonSpecific,0.1517320019176273,7.12368993988664e-6
chr13,44405983,44405984,ENSG00000237361.2,TUSC8,194,4,NonSpecific,0.02463594625733341,0.08045177912277637
chr13,44576564,44576565,ENSG00000102804.14,TSC22D1,214,10,CellTypeSpecific,0.17982768042284247,8.302582359354177e-7
chr13,45120514,45120515,ENSG00000188342.11,GTF2F2,128,21,NonSpecific,0.15125815119174774,7.383128038114643e-6
chr13,45411937,45411938,ENSG00000174032.16,SLC25A30,112,5,NonSpecific,0.07845655961127863,0.0015575438743369748
chr13,45615738,45615739,ENSG00000165837.11,ERICH6B,116,8,NonSpecific,0.14802219254086596,9.42234522349214e-6
chr13,46553167,46553168,ENSG00000136141.14,LRCH1,48,6,CellTypeSpecific,0.11219754865521991,1.3440764841645583e-4
chr13,47932621,47932622,ENSG00000260388.2,LINC00562,62,7,CellTypeSpecific,0.08695190993712068,8.431019522470316e-4
chr13,48233157,48233158,ENSG00000136156.12,ITM2B,65,9,CellTypeSpecific,0.03817138225039126,0.028998880831991675
chr13,49585582,49585583,ENSG00000136144.11,RCBTB1,148,5,NonSpecific,0.1745872223645255,1.2452417318622944e-6
chr13,49691474,49691475,ENSG00000123179.13,EBPL,156,44,CellTypeSpecific,0.39925304788832655,2.7537910474393835e-15
chr13,49936489,49936490,ENSG00000123178.14,SPRYD7,194,24,CellTypeSpecific,0.13243171574936735,3.0227442661413117e-5
chr13,49995887,49995888,ENSG00000204977.9,TRIM13,203,0,NonSpecific,NA,NA
chr13,50909677,50909678,ENSG00000136104.19,RNASEH2B,263,18,CellTypeSpecific,0.34149257798329347,8.40296506843373e-13
chr13,51200251,51200252,ENSG00000226792.7,LINC00371,282,33,NonSpecific,0.6122851924808818,4.507818493320711e-27
chr13,51584454,51584455,ENSG00000139668.8,WDFY2,296,1,NonSpecific,0.06256693801159556,0.004902778445772955
chr13,52012124,52012125,ENSG00000123191.14,ATP7B,273,8,NonSpecific,0.1238119072197532,5.7228125717362005e-5
chr13,52012397,52012398,ENSG00000253710.2,ALG11,273,3,NonSpecific,0.19039424440296254,3.642492175609264e-7
chr13,52029664,52029665,ENSG00000253797.2,UTP14C,271,11,NonSpecific,0.14838582712795934,9.167936792442371e-6
chr13,52127661,52127662,ENSG00000197168.11,NEK5,257,11,CellTypeSpecific,0.18919757574543447,4.000527868014864e-7
chr13,52159860,52159861,ENSG00000136098.16,NEK3,246,39,CellTypeSpecific,0.3978467903969168,3.185055529642972e-15
chr13,20192897,20192898,ENSG00000165474.5,GJB2,151,0,NonSpecific,NA,NA
chr13,20525856,20525857,ENSG00000165475.13,CRYL1,161,11,NonSpecific,0.1677634010281984,2.1043821310124956e-6
chr13,20567068,20567069,ENSG00000032742.17,IFT88,160,39,NonSpecific,0.11841342946143757,8.517903847832403e-5
chr13,20903047,20903048,ENSG00000132953.16,XPO4,154,2,CellTypeSpecific,0.0076607377550361845,0.3317476694649768
chr13,52455428,52455429,ENSG00000136108.14,CKAP2,212,17,CellTypeSpecific,0.34158807848920625,8.327232711699778e-13
chr13,52640785,52640786,ENSG00000139675.11,HNRNPA1L2,196,21,CellTypeSpecific,0.25629267816226203,1.7115923135318183e-9
chr13,60163986,60163987,ENSG00000139734.17,DIAPH3,8,4,CellTypeSpecific,0.0036789632957861546,0.5016195205708114
chr13,61415521,61415522,ENSG00000280165.1,PCDH20,7,0,NonSpecific,NA,NA
chr13,72782096,72782097,ENSG00000083535.15,PIBF1,24,11,CellTypeSpecific,0.03053970563179522,0.05126781924873642
chr13,75482113,75482114,ENSG00000136111.12,TBC1D4,126,8,NonSpecific,0.1880134264982089,4.388944700658253e-7
chr13,75871037,75871038,ENSG00000178734.5,LMO7DN,146,6,NonSpecific,0.1489254208300374,8.802885487506939e-6
chr13,76886389,76886390,ENSG00000178695.5,KCTD12,111,2,NonSpecific,0.06464070346209515,0.004220881667471255
chr13,81043669,81043670,ENSG00000229246.1,LINC00377,15,2,NonSpecific,0.0438417331176866,0.019103366429116204
chr13,94601902,94601903,ENSG00000152749.7,GPR180,104,44,CellTypeSpecific,0.26554502559368265,7.793958595443523e-10
chr13,21459369,21459370,ENSG00000180776.15,ZDHHC20,115,9,CellTypeSpecific,0.1376378244181869,2.0515204337548105e-5
chr13,23466570,23466571,ENSG00000232977.6,LINC00327,192,17,NonSpecific,0.2832614641367375,1.6838587290666677e-10
chr13,95433603,95433604,ENSG00000134873.9,CLDN10,161,0,NonSpecific,NA,NA
chr13,95676924,95676925,ENSG00000247400.3,DNAJC3-AS1,148,10,NonSpecific,0.17150739429716994,1.5786559518263357e-6
chr13,95677138,95677139,ENSG00000102580.14,DNAJC3,148,5,CellTypeSpecific,0.25620256788109813,1.7246793565964009e-9
chr13,96053481,96053482,ENSG00000102595.19,UGGT2,163,10,NonSpecific,0.15024431766898516,7.969983672589051e-6
chr13,96984171,96984172,ENSG00000243300.2,LINC00359,98,0,NonSpecific,NA,NA
chr13,96994729,96994730,ENSG00000165621.8,OXGR1,98,16,CellTypeSpecific,0.23117063430228987,1.3861135158594168e-8
chr13,98577150,98577151,ENSG00000102572.14,STK24,82,20,CellTypeSpecific,0.08489376017414069,9.783909913890973e-4
chr13,99200709,99200710,ENSG00000228889.6,UBAC2-AS1,75,5,CellTypeSpecific,0.04289232150072228,0.02048071069098634
chr13,100589527,100589528,ENSG00000134864.10,GGACT,80,16,NonSpecific,0.060902526978239946,0.00552931168761641
chr13,100675092,100675093,ENSG00000125247.15,TMTC4,81,32,NonSpecific,0.1283033754261503,4.105742535427488e-5
chr13,102394629,102394630,ENSG00000272143.1,FGF14-AS2,126,13,CellTypeSpecific,0.21324684697077503,5.939241416012468e-8
chr13,102593872,102593873,ENSG00000276957.1,RP11-29B2.6,123,3,NonSpecific,0.09065966088738284,6.446661642020263e-4
chr13,102799048,102799049,ENSG00000134897.13,BIVM,114,13,CellTypeSpecific,0.2041712478858717,1.2270995655234615e-7
chr13,102888857,102888858,ENSG00000272542.1,RP11-255P5.2,107,20,CellTypeSpecific,0.3010747415040267,3.4796121594811286e-11
chr13,106568163,106568164,ENSG00000134884.13,ARGLU1,62,7,NonSpecific,0.12262692504462083,6.245675098620242e-5
chr13,106904098,106904099,ENSG00000277863.1,RP11-282A11.4,66,9,CellTypeSpecific,0.2604603123660015,1.2022597469359843e-9
chr13,107866734,107866735,ENSG00000204442.3,FAM155A,105,0,NonSpecific,NA,NA
chr13,108218367,108218368,ENSG00000174405.13,LIG4,86,23,NonSpecific,0.16262760088364264,3.116317020027663e-6
chr13,110057330,110057331,ENSG00000275830.1,RP11-403A3.3,78,9,NonSpecific,0.2613484751949911,1.1148181558295855e-9
chr13,110713276,110713277,ENSG00000134905.16,CARS2,94,18,CellTypeSpecific,0.13768953096385703,2.043621742833796e-5
chr13,110916003,110916004,ENSG00000277767.1,RP11-365P13.5,91,7,NonSpecific,0.23558078998055731,9.644862129619287e-9
chr13,111114918,111114919,ENSG00000102606.17,ARHGEF7,81,10,NonSpecific,0.0910517888843966,6.26613931081642e-4
chr13,112689814,112689815,ENSG00000274922.1,RP11-88E10.5,223,4,NonSpecific,0.08711716462084008,8.330840097968481e-4
chr13,112894377,112894378,ENSG00000126217.20,MCF2L,240,40,CellTypeSpecific,0.07770544357124044,0.0016443158748577682
chr13,113105787,113105788,ENSG00000057593.13,F7,253,1,NonSpecific,0.07789122845770131,0.0016224142954192095
chr13,113122813,113122814,ENSG00000126218.11,F10,260,19,NonSpecific,0.2647548312114482,8.338550105166173e-10
chr13,113158653,113158654,ENSG00000126231.13,PROZ,264,4,NonSpecific,0.12340465899831474,5.8974254225998754e-5
chr13,113364147,113364148,ENSG00000139835.13,GRTP1,310,31,CellTypeSpecific,0.21105941970758693,7.079105930710141e-8
chr13,113490994,113490995,ENSG00000150403.17,TMCO3,299,21,CellTypeSpecific,0.10745680757967126,1.900993642715798e-4
chr13,113928843,113928844,ENSG00000260910.1,LINC00565,231,11,CellTypeSpecific,0.2909939396402757,8.531801665229456e-11
chr13,114234886,114234887,ENSG00000130177.14,CDC16,173,11,CellTypeSpecific,0.20701018771350532,9.786700305222964e-8
chr13,114281583,114281584,ENSG00000169062.14,UPF3A,143,16,NonSpecific,0.2258955198994013,2.133688905562241e-8
chr13,23889418,23889419,ENSG00000027001.9,MIPEP,215,6,CellTypeSpecific,0.18960935380602112,3.8735715839542797e-7
chr13,23902654,23902655,ENSG00000205863.10,C1QTNF9B,218,1,NonSpecific,0.1537942314674669,6.095612990930035e-6
chr13,24307165,24307166,ENSG00000240654.6,C1QTNF9,226,1,NonSpecific,0.06914113755622102,0.003050325405970073
chr13,24512809,24512810,ENSG00000102699.5,PARP4,199,12,NonSpecific,0.16611089180056143,2.3882599687216747e-6
chr13,24922888,24922889,ENSG00000151849.14,CENPJ,158,3,NonSpecific,0.07114467030216455,0.002639794378854
chr13,25288008,25288009,ENSG00000139505.11,MTMR6,110,18,NonSpecific,0.11927028389567046,7.997631543992189e-5
chr13,25372070,25372071,ENSG00000132932.16,ATP8A2,99,0,NonSpecific,NA,NA
chr13,26557702,26557703,ENSG00000132970.12,WASF3,69,3,NonSpecific,0.029812150705706534,0.05416518808211035
chr13,27424543,27424544,ENSG00000122034.14,GTF3A,92,20,CellTypeSpecific,0.3931815898019918,5.148878422364605e-15
chr13,27450590,27450591,ENSG00000122033.14,MTIF3,92,36,NonSpecific,0.22673729029971798,1.9921153097852263e-8
chr13,27620741,27620742,ENSG00000186184.16,POLR1D,83,16,CellTypeSpecific,0.1488460054859242,8.855696589977592e-6
chr13,27988653,27988654,ENSG00000183463.5,URAD,73,20,CellTypeSpecific,0.37490870794961495,3.2662525122841473e-14
chr13,28138505,28138506,ENSG00000152520.13,PAN3,65,3,NonSpecific,0.07350173922787169,0.0022269952210168305
chr13,30713477,30713478,ENSG00000132965.9,ALOX5AP,54,1,NonSpecific,0.02464031475938115,0.08042461236061636
chr13,30882550,30882551,ENSG00000236094.1,LINC00545,63,6,NonSpecific,0.20196172299106863,1.4626215357357333e-7
chr13,31199935,31199936,ENSG00000187676.7,B3GLCT,81,1,NonSpecific,0.05113895785740214,0.011217379635644382
chr13,32315473,32315474,ENSG00000139618.14,BRCA2,128,64,CellTypeSpecific,0.27681787570542726,2.951807891998046e-10
chr13,35697523,35697524,ENSG00000236036.1,LINC00445,200,3,NonSpecific,0.1490390160923447,8.727885431542047e-6
chr14,35809303,35809304,ENSG00000174373.16,RALGAPA1,139,24,NonSpecific,0.21357448403277438,5.784881636964033e-8
chr14,37197912,37197913,ENSG00000151338.18,MIPOL1,45,0,NonSpecific,NA,NA
chr14,38948272,38948273,ENSG00000259070.5,LINC00639,94,25,CellTypeSpecific,0.0024748033665069297,0.581670408577404
chr14,39170429,39170430,ENSG00000182400.14,TRAPPC6B,90,5,NonSpecific,0.10016737411050163,3.233545787999442e-4
chr14,41604855,41604856,ENSG00000258636.1,CTD-2298J14.2,46,5,NonSpecific,0.07348616838811763,0.0022294983646282056
chr14,44782828,44782829,ENSG00000258998.1,RP11-398E10.1,104,3,NonSpecific,0.12425588765671851,5.538279533256803e-5
chr14,45135939,45135940,ENSG00000187790.10,FANCM,98,3,NonSpecific,0.07435219646605032,0.002094458532312795
chr14,45253539,45253540,ENSG00000129534.13,MIS18BP1,95,33,CellTypeSpecific,0.12623767185588347,4.783872582299434e-5
chr14,49599164,49599165,ENSG00000165501.16,LRR1,101,16,NonSpecific,0.1686031401686694,1.97316878214576e-6
chr14,49620684,49620685,ENSG00000165502.6,RPL36AL,102,25,CellTypeSpecific,0.2588072495390958,1.3833722606515244e-9
chr14,50116599,50116600,ENSG00000100483.13,VCPKMT,164,23,NonSpecific,0.2371048957397051,8.50499908168806e-9
chr14,50231557,50231558,ENSG00000100485.11,SOS2,169,11,CellTypeSpecific,0.0696976488930616,0.0029302760591653466
chr14,50416460,50416461,ENSG00000100490.9,CDKL1,187,0,NonSpecific,NA,NA
chr14,50944735,50944736,ENSG00000100504.16,PYGL,194,0,NonSpecific,NA,NA
chr14,50962001,50962002,ENSG00000258711.2,RP11-218E20.3,192,28,CellTypeSpecific,0.5396891045183113,1.8397967681905773e-22
chr14,51240167,51240168,ENSG00000139921.12,TMX1,171,11,NonSpecific,0.11013017044012147,1.5636275603906415e-4
chr14,51333392,51333393,ENSG00000258479.5,LINC00640,188,6,CellTypeSpecific,0.40437474541418905,1.6165208434909883e-15
chr14,51385602,51385603,ENSG00000258942.1,RP11-255G12.2,199,17,CellTypeSpecific,0.34354617943941135,6.914534204187987e-13
chr14,51489099,51489100,ENSG00000139926.15,FRMD6,210,8,NonSpecific,0.10244163422924162,2.7403129901432767e-4
chr14,52267712,52267713,ENSG00000168229.3,PTGDR,170,0,NonSpecific,NA,NA
chr14,52552521,52552522,ENSG00000087301.8,TXNDC16,158,14,CellTypeSpecific,0.10530625135736346,2.2240199263224477e-4
chr14,52730179,52730180,ENSG00000198252.11,STYX,149,1,NonSpecific,0.05384347535183471,0.009217332407677352
chr14,52791667,52791668,ENSG00000100522.8,GNPNAT1,150,11,NonSpecific,0.11611910816384535,1.0081939280510074e-4
chr14,54441430,54441431,ENSG00000100528.11,CNIH1,83,25,CellTypeSpecific,0.5097490484895577,9.11759661116737e-21
chr14,54489195,54489196,ENSG00000197045.12,GMFB,82,13,CellTypeSpecific,0.25507675327416857,1.8967371549900263e-9
chr14,55411857,55411858,ENSG00000126775.8,ATG14,79,13,CellTypeSpecific,0.2853898639190814,1.3974339928911385e-10
chr14,55580209,55580210,ENSG00000126777.17,KTN1,63,4,NonSpecific,0.014663060448140136,0.1785624237075478
chr14,56488353,56488354,ENSG00000070269.13,TMEM260,48,13,NonSpecific,0.1565977207778222,4.929442326385833e-6
chr14,58298138,58298139,ENSG00000139971.15,C14orf37,156,5,NonSpecific,0.1307503604291815,3.424645796926463e-5
chr14,58288032,58288033,ENSG00000279636.2,LINC00216,155,35,CellTypeSpecific,0.31398591767942796,1.0835308793898176e-11
chr14,59188679,59188680,ENSG00000100592.15,DAAM1,245,0,NonSpecific,NA,NA
chr14,59465341,59465342,ENSG00000181619.11,GPR135,224,9,CellTypeSpecific,0.09480178423646828,4.7746533751019226e-4
chr14,59484429,59484430,ENSG00000126790.11,L3HYPDH,224,25,NonSpecific,0.3169540434604496,8.261957370022792e-12
chr14,59484442,59484443,ENSG00000050130.17,JKAMP,224,23,CellTypeSpecific,0.11283330586651172,1.2829213929009886e-4
chr14,60169855,60169856,ENSG00000100612.13,DHRS7,182,23,CellTypeSpecific,0.09394621722963967,5.08034514988068e-4
chr14,60245751,60245752,ENSG00000100614.17,PPM1A,181,16,CellTypeSpecific,0.17110658665701037,1.6280713475167924e-6
chr14,61570653,61570654,ENSG00000232774.7,FLJ22447,65,13,NonSpecific,0.18670944541656542,4.859798517835039e-7
chr14,61762356,61762357,ENSG00000023608.4,SNAPC1,73,6,NonSpecific,0.1453402326304325,1.1527042965480915e-5
chr14,63543373,63543374,ENSG00000154001.13,PPP2R5E,81,25,CellTypeSpecific,0.13430370989534213,2.6300015515723813e-5
chr14,64388030,64388031,ENSG00000100714.15,MTHFD1,122,8,CellTypeSpecific,0.05837048293858352,0.006640302334208
chr14,64505212,64505213,ENSG00000089775.11,ZBTB25,119,6,NonSpecific,0.19206456509730405,3.195052094084329e-7
chr14,64503845,64503846,ENSG00000126804.13,ZBTB1,119,7,NonSpecific,0.16039630189139653,3.69374842034217e-6
chr14,64914360,64914361,ENSG00000258289.8,CHURC1,115,55,CellTypeSpecific,0.553546544435798,2.773346915826604e-23
chr14,64972775,64972776,ENSG00000139998.14,RAB15,115,8,NonSpecific,0.1368961351858419,2.1682002990241362e-5
chr14,20305728,20305729,ENSG00000136319.11,TTC5,276,28,NonSpecific,0.39023164883378003,6.963249997461789e-15
chr14,20264307,20264308,ENSG00000258768.2,CTD-2292M16.8,269,15,CellTypeSpecific,0.15980335051012928,3.86420477285499e-6
chr14,20333311,20333312,ENSG00000100814.17,CCNB1IP1,281,13,NonSpecific,0.1950322517884768,2.5298752049814886e-7
chr14,20343685,20343686,ENSG00000129484.13,PARP2,281,8,CellTypeSpecific,0.06527720630014745,0.0040313178717343535
chr14,20435810,20435811,ENSG00000185271.7,KLHL33,283,0,NonSpecific,NA,NA
chr14,20455104,20455105,ENSG00000092094.10,OSGEP,283,5,NonSpecific,0.11655109371365924,9.767156074684247e-5
chr14,20468953,20468954,ENSG00000198805.11,PNP,284,5,NonSpecific,0.18842796942803428,4.248911361029712e-7
chr14,66505344,66505345,ENSG00000258561.1,RP11-72M17.1,41,3,NonSpecific,0.08905771015453456,7.239479889126469e-4
